id,titulo,fecha_inicio,formato,estado,episodios,duracion,generos,estudios,calificacion,popularidad,favoritos
200929,Kusuriya no Hitorigoto: Bouhi no Hihou,2026-12-11,MOVIE,NOT_YET_RELEASED,1.0,,Drama|Mystery,TOHO animation STUDIO,,21089,173
205289,Norman the Snowman: Kodomo-tachi no Hitotsuboshi,,MOVIE,NOT_YET_RELEASED,1.0,,Fantasy,TECARAT,,100,2
202282,Disney Twisted-Wonderland: THE ANIMATION - Season 2: EPISODE of SAVANACLAW,,ONA,NOT_YET_RELEASED,,,Adventure|Fantasy,Yumeta Company|Graphinica,,2328,34
212539,"Takopii no Genzai: Arigatou, Mata Ashita",2026-11-27,MOVIE,NOT_YET_RELEASED,1.0,,Drama|Psychological|Sci-Fi,ENISHIYA,,4222,34
213457,Fool Night,2026-11-26,ONA,NOT_YET_RELEASED,,,Drama|Psychological|Sci-Fi|Thriller,Shaft|Sunrise,,10123,70
206163,Soukou Kihei Votoms: Haiiro no Hexe,2026-11-20,MOVIE,NOT_YET_RELEASED,,,Mecha|Sci-Fi,Production I.G|Sunrise,,1415,8
143103,Mahoutsukai no Yoru,2026-11-20,MOVIE,NOT_YET_RELEASED,1.0,,Action|Drama|Fantasy,ufotable,,32634,375
204561,"Mahou no Princess Minky Momo - Akogare no Yume he, Magokoro no Duo",2026-11-13,OVA,NOT_YET_RELEASED,1.0,,Mahou Shoujo,Ashi Productions|Studio Live,,391,3
157330,Rakuen Tsuihou: Kokoro no Resonance,2026-11-13,MOVIE,NOT_YET_RELEASED,1.0,,Action|Mecha|Sci-Fi,Toei Animation,,3608,25
214536,Cardfight!! Vanguard Divinez Unmei Seisen-hen,2026-11-07,TV,NOT_YET_RELEASED,3.0,,Action|Adventure|Fantasy,Kinema Citrus|Gift-o’-Animation|Studio JEMI,,170,2
203275,Demons' Crest,2026-11-06,TV,NOT_YET_RELEASED,,,Action|Adventure|Fantasy,Production I.G,,2215,13
178972,GROTESQQQUE,2026-11-06,MOVIE,NOT_YET_RELEASED,3.0,,Action|Comedy|Drama|Sci-Fi|Slice of Life|Supernatural,CloverWorks,,6656,28
214443,Hitori Tsuma,2026-10-30,OVA,NOT_YET_RELEASED,,,Hentai,Nur,,59,1
160275,Made in Abyss: Mezameru Shinpi,2026-10-23,MOVIE,NOT_YET_RELEASED,1.0,,Adventure|Drama|Fantasy|Horror|Mystery|Sci-Fi,Kinema Citrus,,36088,412
195539,Cyberpunk: Edgerunners 2,2026-10-20,ONA,NOT_YET_RELEASED,10.0,,Action|Drama|Sci-Fi,TRIGGER,,54598,626
199340,Seishun Buta Yarou wa Dear Friend no Yume wo Minai,2026-10-16,MOVIE,NOT_YET_RELEASED,1.0,,Drama|Psychological|Romance|Supernatural,CloverWorks,,26764,317
197543,BanG Dream! Ave Mujica: prima aurora,2026-10-16,MOVIE,NOT_YET_RELEASED,1.0,,Drama|Music,NICHICALINE,,2561,15
186742,Toaru Anbu no ITEM,2026-10-10,TV,NOT_YET_RELEASED,,,Action|Sci-Fi,J.C.STAFF,,4355,36
