estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Toei Animation,77,54,69.43,71.5,9.7,49.0,90.0,13.57,38.11,8045.18,619479,255.95,19708
OLM,76,66,65.14,65.0,9.76,46.0,88.0,24.24,24.71,30346.75,2306353,1083.87,82374
J.C.STAFF,75,68,68.93,70.0,8.11,49.0,82.0,13.1,24.25,47579.12,3568434,895.97,67198
CloverWorks,67,62,71.15,74.0,10.71,49.0,87.0,7.79,29.18,80334.82,5382433,2888.85,193553
Ruo Hong Culture,67,45,60.11,61.0,6.0,50.0,71.0,78.15,9.1,480.34,32183,16.27,1090
TMS Entertainment,67,60,70.53,70.0,9.2,50.0,89.0,9.63,42.18,46802.09,3135740,1119.18,74985
MAPPA,64,61,72.87,74.0,10.56,49.0,90.0,7.16,32.32,111311.88,7123960,4731.02,302785
Sunrise,63,59,67.86,68.0,7.33,50.0,79.0,6.72,35.7,11449.06,721291,229.71,14472
LIDENFILMS,61,57,64.32,63.0,9.38,45.0,84.0,12.69,25.42,39603.85,2415835,972.56,59326
Production I.G,61,57,67.86,67.0,10.56,45.0,86.0,7.6,36.69,40261.31,2455940,1040.82,63490
A-1 Pictures,58,51,72.02,73.0,9.35,54.0,89.0,5.77,31.67,75142.41,4358260,2765.88,160421
T-REX,56,55,66.31,66.0,4.86,52.0,77.0,2.43,17.08,3074.39,172166,161.09,9021
AQUA ARIS,53,49,52.0,52.0,4.24,45.0,63.0,15.62,1.85,1233.91,65397,12.45,660
WIT STUDIO,53,48,68.23,69.0,10.17,46.0,84.0,8.77,20.85,50825.51,2693752,1545.87,81931
Sparkly Key Animation,52,46,74.67,76.0,5.3,59.0,80.0,20.84,24.08,1215.63,63213,52.29,2719
Studio DEEN,51,48,66.46,66.0,7.93,49.0,82.0,10.0,30.4,25110.33,1280627,462.76,23601
Seven,46,44,62.05,63.5,8.06,34.0,74.0,3.26,22.62,2707.37,124539,92.89,4273
SANZIGEN,44,43,67.02,67.0,8.48,52.0,82.0,4.16,27.95,4653.14,204738,146.75,6457
Soyep,43,23,56.7,55.0,5.13,46.0,66.0,113.1,10.94,373.7,16069,13.21,568
Fanworks,42,19,58.21,57.0,10.67,44.0,77.0,12.74,11.27,2138.02,89797,25.29,1062
Shin-Ei Animation,41,35,68.66,70.0,9.95,47.0,86.0,7.1,50.08,22052.41,904149,622.49,25522
Bandai Namco Pictures,41,36,68.78,73.0,11.07,49.0,91.0,12.55,33.48,25474.8,1044467,726.93,29804
Foch,34,29,65.86,69.0,6.38,53.0,74.0,21.26,20.52,1771.38,60227,48.09,1635
SILVER LINK.,34,34,68.82,69.5,6.56,50.0,83.0,12.29,27.41,69215.71,2353334,1347.76,45824
Studio KAI,34,32,68.69,69.5,8.18,52.0,83.0,8.36,18.45,22769.88,774176,614.24,20884
DLE,31,12,59.58,60.5,5.92,47.0,68.0,18.97,6.0,633.19,19629,6.58,204
Kinema Citrus,30,28,69.82,69.0,7.41,58.0,87.0,8.93,31.21,40170.5,1205115,937.3,28119
bones,29,29,75.0,76.0,7.44,59.0,87.0,9.69,34.45,111645.59,3237722,3126.07,90656
Nur,29,26,56.77,56.5,3.0,50.0,64.0,2.75,23.41,1108.28,32140,41.31,1198
Doga Kobo,29,29,70.97,71.0,9.22,48.0,86.0,9.3,23.89,63271.1,1834862,1919.0,55651
MADHOUSE,29,28,71.89,71.0,8.94,56.0,91.0,10.81,30.41,67155.9,1947521,3459.76,100333
Majin petit,28,26,53.35,52.5,6.25,45.0,71.0,2.88,16.95,1409.07,39454,51.93,1454
Yostar Pictures,27,22,66.23,68.0,6.55,50.0,77.0,5.22,10.78,12056.37,325522,235.44,6357
CG Year,27,16,61.38,62.0,4.54,52.0,68.0,18.26,19.56,450.81,12172,18.11,489
8-bit,27,27,73.59,74.0,6.06,55.0,83.0,9.89,34.63,80855.59,2183101,2228.44,60168
