genero,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Fantasy,1826,1377,65.71,66.0,9.3,41.0,91.0,18.48,22.97,24747.24,45188452,630.11,1150587
Comedy,1688,1274,65.69,67.0,10.16,34.0,91.0,13.75,19.25,26879.27,45372202,679.71,1147346
Action,1684,1323,67.19,67.0,9.79,21.0,91.0,19.13,27.51,32324.97,54435250,896.74,1510112
Adventure,1062,805,67.01,67.0,9.3,44.0,91.0,20.96,26.71,32249.54,34249011,854.62,907610
Slice of Life,1029,850,66.45,68.0,10.01,41.0,89.0,9.96,18.94,25285.49,26018765,706.98,727483
Drama,882,773,70.62,71.0,9.78,40.0,91.0,9.94,34.5,48804.7,43045745,1641.38,1447699
Romance,785,696,68.11,69.0,9.02,41.0,90.0,12.4,24.18,40183.76,31544249,1059.23,831496
Sci-Fi,606,488,64.84,65.0,10.32,21.0,91.0,11.16,30.18,23624.12,14316215,610.88,370193
Supernatural,579,517,68.09,68.0,10.4,43.0,90.0,9.84,25.69,42129.32,24392879,1299.99,752694
Hentai,352,339,59.9,60.0,6.63,45.0,77.0,2.79,19.04,2134.74,751427,84.67,29805
Mystery,304,267,69.1,70.0,10.84,40.0,88.0,10.48,34.23,48265.4,14672681,1459.98,443833
Music,300,268,65.78,67.0,10.36,40.0,87.0,7.62,32.13,10173.0,3051899,347.42,104225
Psychological,279,243,68.05,67.0,10.96,41.0,90.0,5.89,21.18,41564.72,11596556,1393.24,388714
Sports,198,171,66.85,67.0,11.1,42.0,88.0,9.76,27.79,20927.95,4143735,569.17,112696
Ecchi,157,157,63.71,64.0,9.37,34.0,85.0,9.74,19.89,53618.5,8418105,1290.9,202672
Mecha,141,112,63.21,63.0,10.07,43.0,87.0,9.41,34.04,13684.72,1929546,469.72,66230
Mahou Shoujo,113,77,64.77,66.0,8.67,43.0,80.0,15.64,26.32,6045.02,683087,112.93,12761
Horror,97,81,62.81,64.0,12.54,32.0,90.0,8.41,30.87,35891.91,3481515,1179.21,114383
Thriller,85,79,69.35,70.0,11.93,40.0,90.0,9.86,37.29,66379.27,5642238,2045.93,173904
