anime_id,titulo,fecha_inicio,episodios,duracion,calificacion,popularidad,favoritos,formato_id,estado_id
200929,Kusuriya no Hitorigoto: Bouhi no Hihou,2026-12-11,1.0,,,21089,173,1,3
212539,"Takopii no Genzai: Arigatou, Mata Ashita",2026-11-27,1.0,,,4222,34,1,3
213457,Fool Night,2026-11-26,,,,10123,70,3,3
206163,Soukou Kihei Votoms: Haiiro no Hexe,2026-11-20,,,,1415,8,1,3
143103,Mahoutsukai no Yoru,2026-11-20,1.0,,,32634,375,1,3
204561,"Mahou no Princess Minky Momo - Akogare no Yume he, Magokoro no Duo",2026-11-13,1.0,,,391,3,4,3
157330,Rakuen Tsuihou: Kokoro no Resonance,2026-11-13,1.0,,,3608,25,1,3
214536,Cardfight!! Vanguard Divinez Unmei Seisen-hen,2026-11-07,3.0,,,170,2,6,3
203275,Demons' Crest,2026-11-06,,,,2215,13,6,3
178972,GROTESQQQUE,2026-11-06,3.0,,,6656,28,1,3
214443,Hitori Tsuma,2026-10-30,,,,59,1,4,3
160275,Made in Abyss: Mezameru Shinpi,2026-10-23,1.0,,,36088,412,1,3
195539,Cyberpunk: Edgerunners 2,2026-10-20,10.0,,,54598,626,3,3
199340,Seishun Buta Yarou wa Dear Friend no Yume wo Minai,2026-10-16,1.0,,,26764,317,1,3
197543,BanG Dream! Ave Mujica: prima aurora,2026-10-16,1.0,,,2561,15,1,3
186742,Toaru Anbu no ITEM,2026-10-10,,,,4355,36,6,3
212503,Hyouken no Majutsushi ga Sekai wo Suberu II,2026-10-09,,,,7034,74,6,3
207327,Doko yori mo Tooi Basho ni Iru Kimi e,2026-10-09,1.0,,,8076,69,1,3
205909,Hotaru no Yomeiri,2026-10-09,,,,14195,183,6,3
202390,Girls und Panzer: Saishuushou 5,2026-10-09,1.0,,,3053,49,1,3
211778,"Sekai Saikyou no Majo, Hajimemashita",2026-10-07,,,,2739,23,6,3
178868,Magic Knight Rayearth (2026),2026-10-07,,,,5506,36,6,3
206949,Kyouran Reijou Nia Liston,2026-10-06,,,,4985,43,6,3
200294,Choujun! Choujou Senpai,2026-10-06,,,,1524,12,6,3
160803,Mahou Shoujo Ikusei Keikaku: restart,2026-10-06,,,,4239,33,6,3
209463,Kanata Kara,2026-10-05,,,,1766,9,6,3
209872,Ranma 1/2 (2024) 3rd Season,2026-10-04,,,,8823,65,6,3
209499,TANK CHAIR: Sensha Isu,2026-10-04,,,,2149,15,6,3
202079,Oji-san wa Kawaii Mono ga Osuki.,2026-10-04,,,,1291,7,6,3
191788,Aoashi 2nd Season,2026-10-04,24.0,,,14131,152,6,3
191656,Seitokai ni mo Ana wa Aru!,2026-10-04,,,,8692,74,6,3
189123,Ao no Hako Season 2,2026-10-04,,,,30669,435,6,3
214968,Nezumi-kun no Chokki (TV) 2nd Season,2026-10-03,,,,22,1,7,3
212799,Marronnier Oukoku no Shichinin no Kishi,2026-10-03,,,,1288,8,6,3
209562,Vertex Force,2026-10-03,,,,1393,8,6,3
178083,Tokyo Revengers: Santen Sensou-hen,2026-10-03,,,,21376,253,6,3
212888,Temppal: Item no Chikara,2026-10-02,,,,7120,89,6,3
212144,Kizu darake Seijo yori Houfuku wo Komete Season2,2026-10-02,,,,885,5,7,3
195516,Kusuriya no Hitorigoto 3rd Season,2026-10-02,,,,62735,1086,6,3
213805,Koori no Jouheki 2nd Season,2026-10-01,,,,16108,175,6,3
159042,Tensei Shitara Ken Deshita 2nd Season,2026-10-01,,,,35141,544,3,3
213732,Mujikaku na Osananajimi to Kyoumi Honi de Yatte Mitara THE ANIMATION,2026-09-25,,20.0,,178,7,4,3
213686,NTR Kishi,2026-09-25,,,,152,4,4,3
210482,JoJo no Kimyou na Bouken: Steel Ball Run - 2nd - 3rd STAGE,2026-09-25,11.0,,,21290,286,3,3
202429,Wareware wa Uchuujin,2026-09-25,1.0,,,2756,14,1,3
213067,Netorareta Bakunyuu Tsuma-tachi 2,2026-09-18,2.0,20.0,,255,7,4,3
198654,Meitantei Precure! Fushigi na Niwa to Futari no Himitsu,2026-09-18,,,,609,3,1,3
213066,Muramata-san no Aijou,2026-09-11,3.0,20.0,,356,11,4,3
194116,Saishuu Gakushou Hibike! Euphonium - Kouhen,2026-09-11,1.0,,,3010,19,1,3
214703,Ghost Meets Gal!,2026-09-05,,2.0,,313,4,7,3
204431,Kaijuu 8-gou: Narumi no Heijitsu,2026-09-05,4.0,,,3379,30,5,3
213733,Kanojo Saimin,2026-08-28,,,,248,4,4,3
212575,Sare Tsuma wa Ubawaretai,2026-08-28,,,,169,3,4,3
212574,Pure x Holic: Junketsu Otome to Kon’in Kankei!? The Animation,2026-08-28,2.0,20.0,,343,5,4,3
205068,Wollum Jogyonim,2026-08-28,7.0,,,2450,52,,3
