anime_id,estudio_id
200929,636
212539,179
213457,528
213457,622
206163,458
206163,622
143103,771
204561,52
204561,597
157330,663
214536,318
214536,240
214536,591
203275,458
178972,122
214443,401
160275,318
195539,638
199340,122
197543,390
186742,292
212503,733
207327,633
205909,741
202390,27
211778,91
211778,30
178868,173
206949,306
200294,49
160803,627
209463,578
209872,350
209499,427
202079,325
191788,633
191656,438
189123,187
214968,136
212799,292
209562,541
178083,325
212888,292
212144,285
212144,286
195516,405
213805,592
159042,97
213732,525
213686,363
210482,741
202429,392
202429,379
198654,663
194116,323
214703,57
204431,458
213733,628
212575,401
212574,525
133007,528
212652,292
206189,120
176373,123
154122,233
215522,100
215761,573
215761,575
215761,539
214893,493
214892,692
211308,408
214855,146
214829,383
213958,492
213847,458
213486,194
141953,615
141953,208
213908,475
212617,628
212272,525
211338,127
208829,537
215526,551
214559,737
211220,223
206273,534
185874,425
214426,692
202717,143
199409,61
206282,154
214068,304
214067,517
196223,48
194029,663
214260,100
214259,487
215582,122
206819,627
206819,658
182616,122
212969,463
213359,277
214031,739
208824,541
199066,325
188139,164
213750,335
213750,633
213638,138
209961,578
208754,427
196187,50
213961,608
207254,675
184356,502
108992,164
213666,286
213666,285
211232,584
207809,647
198946,333
198709,578
196356,389
194829,259
194829,438
159309,178
135865,393
213665,285
213665,286
209800,622
199111,733
199111,513
187260,476
177699,523
128757,742
213506,166
209504,177
208685,590
202269,364
199408,576
195833,108
177637,318
169583,758
169582,361
169080,762
213097,672
210031,331
208225,733
208225,247
205116,443
204060,639
201514,89
200637,76
200230,96
198409,361
197178,663
196017,11
196017,461
194219,129
185875,526
185692,292
103303,323
214866,11
213831,213
212308,102
209983,726
207674,733
206249,578
203490,333
190569,523
187538,1
185542,58
178789,570
168134,693
213484,595
207141,76
204466,325
202896,610
199748,237
198044,42
196218,736
188525,537
180136,243
213861,759
209669,543
203880,50
201667,738
201667,399
198376,390
197715,89
213426,308
214865,11
196219,359
196219,442
206521,143
186863,405
211557,628
210116,538
209873,401
208044,177
176636,72
206194,534
192800,177
213427,636
213356,722
199448,61
213343,350
210032,633
213297,722
215106,754
202851,422
202851,700
208749,469
168179,128
199418,74
137664,429
212994,633
209982,488
209981,628
208264,363
179874,180
179874,593
212563,578
113555,292
213668,379
212309,290
212309,674
212323,71
206354,209
194167,619
178707,10
206356,209
211270,194
204356,739
213516,554
211607,350
212557,203
212557,603
208314,628
196840,677
153466,100
211479,304
206840,401
206145,270
204349,443
188035,323
186833,700
211181,554
206003,469
208352,388
184872,209
205772,692
163793,709
194393,205
210823,692
206950,33
204269,178
202386,146
196974,325
195734,428
182578,495
182300,27
182300,72
198113,108
187869,546
185211,89
169228,633
209312,27
206004,469
202508,522
198369,633
177501,347
182483,302
177508,589
210687,608
206951,470
206951,489
202985,647
199588,633
199029,633
189046,691
158036,543
158036,458
207675,286
207675,285
199547,739
197754,347
195268,405
186744,688
169580,107
206166,188
204319,590
202523,763
201090,178
197824,733
189987,733
156090,700
147105,69
206914,593
206523,405
206523,165
202102,727
196029,294
190704,592
178749,606
177634,405
213664,422
210932,595
198411,136
196935,731
196012,622
195600,739
184492,72
183231,458
171110,692
210234,286
210234,285
209940,153
206270,534
205054,578
202381,325
196144,592
195333,576
192808,52
182205,10
181284,522
179950,64
170019,758
201817,639
199221,633
186497,592
180228,169
210375,286
210375,285
200769,580
198939,25
198939,587
197868,177
197868,359
194317,761
180745,334
173172,350
210115,768
170110,375
190143,692
209962,122
206916,628
206915,628
204560,363
204463,538
190668,563
187375,539
209541,276
166437,100
206889,132
209662,210
206857,604
198373,334
210347,98
190327,741
179813,493
213663,534
203100,405
203100,165
197097,49
208517,403
187267,417
177132,604
208551,493
215891,755
208665,356
207534,551
137662,661
203367,525
202894,363
182206,10
176509,633
206358,645
204270,594
204394,194
207853,622
184280,423
210376,14
155304,487
197474,72
182317,537
155331,154
187508,292
187508,541
208065,531
213667,98
208064,434
207331,11
202957,663
207084,585
207083,573
207083,575
199410,534
201153,363
189956,11
189956,461
113971,622
166039,149
203127,27
189275,178
185870,533
207363,138
201903,575
201903,573
204698,404
204698,509
206425,636
199436,383
182255,347
202955,692
182587,164
207474,337
203939,277
176370,426
207082,350
198374,53
195518,578
192507,184
192507,55
187989,405
187062,627
184951,331
183660,184
166613,350
203296,240
203296,318
203296,591
203148,667
202419,286
202419,285
192867,403
187941,221
187941,205
187901,627
185262,726
181443,639
179062,741
163144,417
200556,525
198706,383
191718,13
189137,642
187892,563
185514,470
185514,642
172463,350
205676,146
185039,758
183270,52
182771,51
182771,627
176276,438
176276,259
192261,256
191967,592
191205,388
183984,495
180746,578
177679,63
203472,146
195515,237
194742,177
194318,622
189565,657
187942,237
183661,578
204432,503
204432,155
198767,590
198720,166
197731,742
195322,739
194028,412
189259,763
185993,131
177385,542
166521,89
186333,450
177580,543
205307,229
199446,285
199446,286
167152,592
166617,11
198749,465
205154,476
205154,181
199366,529
199112,764
195384,493
187264,736
185753,205
178005,292
194884,11
153467,719
205905,462
205905,437
204742,470
201975,628
201974,628
199164,363
199162,401
193923,310
188034,423
188034,27
179930,173
205290,120
213642,201
204696,398
168252,300
204656,380
168195,339
189258,361
204654,407
185857,344
207081,575
204080,350
187921,730
187921,351
195877,463
191893,639
188928,395
153458,23
132776,216
132776,537
204626,492
199005,286
199005,285
166443,128
199432,487
213095,46
204396,70
200228,628
198046,401
196116,525
199414,70
194712,438
214834,11
166421,707
207855,611
185773,572
203146,537
202660,383
199154,663
202281,622
202281,311
203710,435
204066,350
193294,537
183384,622
213460,146
137711,397
201808,312
120406,29
120406,397
201151,638
199430,439
198048,628
196540,363
188522,203
199603,492
184642,741
184642,311
184642,566
184642,318
184642,427
184642,458
184642,460
184642,638
184642,692
184351,453
140291,730
140291,246
196722,525
140337,350
196230,730
207886,423
203953,554
200560,122
198188,731
198188,331
198188,1
198188,593
198188,423
198188,229
194872,89
194353,395
211271,178
188529,576
155303,264
186161,375
207848,357
194447,608
186524,748
185116,743
153800,292
213646,754
200642,770
196115,89
191403,72
177686,104
200046,11
199635,276
174914,578
199931,146
186914,578
180436,347
180436,141
170577,350
199009,285
199009,286
198312,286
198312,285
186794,622
180082,748
162890,72
199812,213
199008,203
187331,466
182531,590
173523,688
170936,368
196553,616
195240,142
190840,606
190840,613
188388,663
187464,325
186190,580
185731,350
179992,733
179992,336
173692,292
170018,398
129195,66
198413,203
195173,398
194832,663
188487,237
187940,506
