anime_id,genero_id
200929,4
200929,12
212539,4
212539,13
212539,15
213457,4
213457,13
213457,15
213457,19
206163,10
206163,15
143103,1
143103,4
143103,6
204561,9
157330,1
157330,10
157330,15
214536,1
214536,2
214536,6
203275,1
203275,2
203275,6
178972,1
178972,3
178972,4
178972,15
178972,16
178972,18
214443,7
160275,2
160275,4
160275,6
160275,8
160275,12
160275,15
195539,1
195539,4
195539,15
199340,4
199340,13
199340,14
199340,18
197543,4
197543,11
186742,1
186742,15
212503,1
212503,2
212503,6
207327,12
207327,14
205909,4
205909,14
202390,1
202390,17
211778,1
211778,3
211778,6
178868,2
178868,6
178868,9
178868,10
206949,6
200294,3
200294,16
160803,1
160803,6
160803,9
160803,19
209463,2
209463,6
209463,14
209872,1
209872,3
209872,14
209499,1
209499,15
202079,3
202079,16
191788,17
191656,3
191656,16
189123,14
189123,16
189123,17
214968,6
212799,3
212799,6
212799,14
209562,1
209562,10
178083,1
178083,4
178083,14
178083,18
212888,1
212888,2
212888,3
212888,6
212144,6
212144,14
195516,4
195516,12
213805,3
213805,4
213805,14
213805,16
159042,1
159042,2
159042,6
213732,7
213686,7
210482,1
210482,2
210482,4
210482,12
210482,18
202429,4
213067,7
198654,9
213066,7
194116,4
194116,11
194116,16
214703,3
214703,6
204431,16
213733,7
212575,7
212574,6
212574,7
205068,3
205068,14
205068,16
133007,9
215878,8
212652,10
206189,1
206189,2
206189,6
176373,18
154122,1
154122,14
154122,15
215522,1
215522,6
215522,8
191832,4
191832,12
191832,18
191832,19
215761,2
215761,6
215761,16
214892,1
214892,6
211308,1
211308,6
211308,9
214855,3
214829,6
214829,14
213958,2
213958,6
213958,9
213847,1
213847,2
213847,15
213486,3
213486,6
213486,16
211711,6
211711,11
211711,16
166444,14
166444,16
214702,1
214702,6
141953,1
141953,12
141953,13
213908,16
212617,7
212272,3
212272,7
212272,14
211338,7
208829,1
208829,2
208829,3
215526,1
215526,2
215526,6
211220,2
206273,1
206273,6
185874,1
185874,2
185874,18
214426,1
214426,6
202717,3
202717,16
199409,1
199409,3
199409,6
206282,1
206282,2
206282,6
214070,1
214070,15
214068,4
214068,6
214067,1
214067,3
214067,15
196223,1
196223,2
196223,15
194029,6
215639,2
215639,3
215639,6
214260,1
214260,2
214260,6
214259,1
214259,2
214259,3
214259,6
214259,14
206819,14
182616,1
182616,2
212969,1
212969,6
213359,8
213359,18
214031,3
214031,16
214031,18
199066,3
199066,14
199066,18
188139,4
188139,14
213750,2
213750,3
213750,6
213750,16
213638,1
213638,3
209961,1
209961,4
209961,12
209961,19
208754,1
208754,2
196187,3
196187,14
196187,16
213961,3
213961,6
207254,2
207254,4
207254,15
184356,1
184356,2
184356,6
108992,1
108992,18
213703,6
213703,15
213666,4
213666,14
211232,6
207809,1
207809,2
207809,4
207809,6
207809,14
198946,1
198946,4
198946,6
198709,1
198709,4
198709,6
198709,14
196356,3
196356,16
194829,1
194829,2
194829,3
194829,6
159309,1
159309,6
159309,10
159309,14
135865,1
135865,6
213665,6
213665,14
209800,1
209800,2
209800,15
199111,3
199111,16
199111,17
187260,4
187260,6
187260,14
177699,1
177699,13
177699,15
128757,4
213506,3
209504,1
209504,2
209504,3
209504,6
208685,7
202269,4
202269,14
199408,4
199408,6
195833,3
195833,17
177637,4
177637,6
177637,14
169583,3
169583,14
169582,1
169582,3
169582,4
169582,6
169582,14
169080,5
169080,16
213097,16
210031,3
210031,4
210031,14
210031,16
208225,6
208225,14
205116,3
204060,1
204060,3
201514,3
201514,14
200637,3
200637,5
200637,14
200230,3
200230,8
200230,18
198409,1
198409,2
198409,6
197178,1
197178,2
197178,4
197178,6
196017,2
196017,16
196017,17
194219,4
194219,6
194219,14
185875,1
185875,3
185875,4
185875,9
185875,15
185692,1
185692,3
185692,6
185692,9
103303,2
103303,14
213831,3
213831,5
213831,18
212308,3
209983,1
209983,2
209983,6
207674,3
207674,5
207674,18
206249,1
206249,18
203490,3
203490,14
203490,16
190569,2
190569,4
187538,1
187538,2
187538,6
187538,15
187538,18
185542,1
185542,2
185542,3
185542,6
178789,2
178789,4
178789,5
178789,6
168134,9
213484,1
213484,2
213484,6
207141,3
207141,5
207141,16
204466,3
204466,14
204466,18
202896,7
199748,1
199748,2
199748,6
198044,6
198044,7
196218,1
196218,3
196218,4
196218,6
196218,14
196218,16
188525,3
188525,16
180136,1
180136,6
213861,16
209669,3
209669,4
209669,14
209669,16
203880,3
203880,8
203880,18
201667,3
201667,16
201667,18
198376,3
198376,4
198376,11
198376,16
197715,1
197715,2
197715,3
197715,6
213426,15
196219,4
196219,6
196219,14
206521,4
186863,2
186863,6
211557,7
210116,7
209873,7
208044,1
208044,2
208044,6
206682,3
206682,6
176636,3
176636,15
206194,1
206194,6
192800,3
192800,6
213427,3
213356,1
213356,2
213356,6
199448,1
199448,4
199448,6
199448,12
199448,18
199448,19
213343,6
213343,16
213317,3
210032,1
210032,17
213297,1
213297,2
213297,6
215106,6
202851,1
202851,2
202851,6
208749,7
168179,1
168179,2
168179,4
213188,1
213188,2
213188,6
199418,1
199418,2
199418,6
137664,18
212994,3
212994,9
212994,12
215521,1
215521,2
215521,6
209982,7
209981,7
208361,7
208264,7
179874,6
179874,8
179874,12
179874,13
179874,18
212563,2
212563,6
212563,14
212563,16
212319,3
212319,15
212319,16
113555,10
213668,4
213668,14
213668,15
212309,1
212309,10
212309,15
212323,1
212323,10
212323,15
206354,1
206354,6
194167,11
194167,16
178707,1
178707,14
178707,15
178707,18
206356,1
206356,2
206356,6
206356,14
211270,3
211270,16
211270,18
204356,1
204356,2
213516,1
213516,2
213516,6
213516,15
211607,1
211607,15
211607,18
211331,4
212557,3
208314,7
196840,5
153466,1
153466,2
153466,6
202895,7
211479,17
211301,6
206840,7
206145,3
206145,6
206145,18
204349,3
204349,16
188035,4
188035,11
188035,16
186833,1
186833,4
186833,6
211181,1
211181,2
211181,6
206003,7
208352,1
208352,3
208352,18
184872,1
184872,2
184872,6
205772,3
163793,14
194393,3
194393,14
194393,16
206950,1
206950,3
204269,16
202386,3
202386,16
196974,6
195734,3
195734,5
195734,16
182578,1
182578,3
182578,14
182300,1
182300,2
182300,4
182300,6
198113,1
198113,3
187869,14
187869,16
185211,3
185211,5
185211,14
169228,1
169228,4
169228,15
209312,1
209312,3
206004,7
202508,4
202508,12
202508,16
198369,12
177501,4
177501,11
177501,14
182483,3
182483,5
182483,6
182483,14
177508,3
177508,6
177508,16
210687,2
210687,3
210687,6
206951,3
206951,6
202985,3
202985,14
202985,16
199588,3
199588,14
199029,3
199029,14
189046,1
189046,2
189046,4
189046,6
189046,13
189046,14
189046,19
158036,4
207675,8
207675,12
207675,18
199547,1
199547,3
199547,4
199547,14
197754,4
197754,13
195268,3
195268,6
195268,14
186744,4
186744,14
186744,18
169580,3
169580,14
206166,5
204319,5
204319,14
204319,17
202523,3
202523,4
202523,5
202523,14
202523,18
201090,1
201090,11
201090,18
197824,6
197824,16
189987,3
189987,14
189987,16
156090,1
156090,6
147105,2
147105,4
147105,6
206914,1
206914,4
206914,15
206523,11
202102,2
202102,4
202102,13
202102,16
196029,3
196029,6
196029,16
190704,3
190704,5
190704,6
190704,14
178749,9
177634,17
213664,1
213664,2
213664,6
210932,3
210932,16
198411,6
196935,4
196012,4
196012,12
196012,14
196012,18
195600,1
195600,2
195600,3
195600,6
195600,18
184492,3
184492,6
184492,18
183231,6
183231,16
171110,4
171110,6
171110,16
210234,1
210234,2
210234,6
209940,3
206270,1
206270,2
206270,6
205054,3
205054,6
205054,14
202381,12
202381,13
202381,18
196144,1
196144,10
196144,15
195333,14
