estudio_id,estudio
1,100studio
2,10GAUGE
3,1IN
4,2:10 Animation
5,302planet
6,5 Inc.
7,5BRICKS
8,717 Studio
9,7doc
10,8-bit
11,A-1 Pictures
12,A-Real
13,A.C.G.T.
14,A4works
15,AIC
16,ALBACROW
17,AMAKAWAANIMATION
18,ANIMETRONICA
19,AOI Pro.
20,AQUA ARIS
21,ARCUS
22,ARMS
23,ASK Animation Studio
24,ASTROBROS.
25,AXsiZ
26,Acca effe
27,Actas
28,Adnero
29,Aisi Animation Studio
30,Aisle
31,Ajiado
32,Akatsuki
33,Akatsuki Media Studio
34,AlcedoAlcy
35,Alfred Imageworks
36,Alke
37,Alpha Animation
38,Amineworks
39,Andraft
40,Anima&Co.
41,AnimationID
42,Anime Antenna Iinkai
43,Anime Tokyo
44,Anyzac
45,Aqua Entertainment
46,Aquastar
47,Arc Anime
48,Arect
49,Arvo Animation
50,Asahi Production
51,Ascension
52,Ashi Productions
53,Asread
54,Asura Film
55,Atelier Peuplier
56,Atelier Pontdarc
57,AtoriE
58,Aura Studio
59,Aurora
60,Axis Studios
61,B.CMAY PICTURES
62,BAKKEN RECORD
63,BELLNOX FILMS
64,BENTEN Film
65,BETOBE
66,BLADE
67,BONEDD
68,BREAKBOTTLE
69,BUG FILMS
70,BYMENT
71,Bandai Namco Filmworks
72,Bandai Namco Pictures
73,Bee Media
74,BeiJing BoYiChuangWei Digital Media
75,Bibury Animation CG
76,Bibury Animation Studios
77,Big Firebird Cultural Media
78,BigBigSun
79,Blaze Studio
80,Block 12
81,BloomZ
82,Blue Bread
83,BlueArc Animation Studio
84,Bomb! Cute! Bomb!
85,BooKong Culture
86,Boruntong
87,Bouncy
88,Boundary
89,Brain's Base
90,Brave pictures
91,Bridge
92,Bright Studio
93,Buemon
94,Build Dream
95,Bunny Walker
96,C-Station
97,C2C
98,CALF
99,CEKAI
100,CG Year
101,CGCG Studio Inc.
102,CHOCOLATE
103,CHOSEN
104,CLAP
105,CLOUDHEARTS
106,CMC Media
107,CONNECT
108,CUE
109,Campfire Aniworks
110,Charaction
111,Charming Fox Animation
112,Cheer Digiart
113,Children's Playground Creative
114,Children's Playground Entertainment
115,Chirying Culture
116,Chongliyuhua
117,Chongzhuo Animation
118,Chuangpu Animation Studio
119,Chuangqi Studio
120,Cloud Art
121,Cloud Culture
122,CloverWorks
123,CoMix Wave
124,Coastline Animation Studio
125,Coco Cartoon
126,Coco Legends
127,Collaboration Works petit
128,Colored Pencil Animation
129,Colored Pencil Animation Japan
130,Coloroom Pictures
131,CompTown
132,Contrail
133,Cover Corp
134,Coyote
135,Craftar
136,Creadom8
137,Creative House Pocket
138,Creative Power Entertaining
139,Creators in Pack
140,Crew Cell
141,Cyclone Graphics
142,CygamesPictures
143,Cypic
144,D.ROCK-ART
145,DC Impression Vision
146,DLE
147,DMM.futureworks
148,DOLESS
149,DR Movie
150,DRAWIZ
151,Da Yu
152,Dai Nippon Printing
153,Daily Plan.net
154,Dancing CG Studio
155,Dandelion Animation Studio
156,Dangun Pictures
157,Daysview Animation
158,Dazzling Star
159,Delight Animation
160,Dentsu
161,Digital Network Animation
162,Directions
163,Djinn Power
164,Doga Kobo
165,Dongwoo Animation
166,Doraku
167,Dou-Raku
168,Doumu Animation
169,Drive
170,Duoling Cartoon
171,Durufix
172,Dynamo Pictures
173,E&H Production
174,E-DEHI Animation Studio
175,EGG FIRM
176,EKACHI EPILKA
177,EMT Squared
178,ENGI
179,ENISHIYA
180,EOTA
181,EVOLROAR
182,EXNOA
183,Eallin
184,East Fish Studio
185,Echoes
186,Ekura Animal
187,Electric Circus
188,Elias
189,Elite Animation
190,Encourage Films
191,Escape Velocity Animation
192,Ether Kitten
193,Ezo’la
194,FENZ
195,FILMKO
196,FIREBUG
197,FLAGSHIP LINE
198,FLAT STUDIO
199,FUNNY MOVIE
200,Fancy Realize Media
201,Fantasier Animation
202,Fantawild Animation
203,Fanworks
204,Fatchi Moxie Studio
205,Felix Film
206,Fengyun Animation
207,Fever Creations
208,Flint Sugar
209,Foch
210,Folium
211,Forest Hunting One
212,Frencel
213,Front Wing
214,Frontier One
215,FuRyu Pictures
216,Fugaku
217,Fun Flux Entertainment
218,G-angle
219,G.H.Y. Culture & Media
220,G.S. Pictures Animation
221,GA-CREW
222,GAINAX Kyoto
223,GARDEN
224,GEAR STUDIO
225,GEEKTOYS
226,GEMBA
227,GOLD BEAR
228,GONZO
229,GRAPH77
230,GRIZZLY
231,GYORAI EIZOU
232,Gaina
233,Gale
234,Gambit
235,Garage Film
236,Gathering
237,Gekkou
238,Gen Long Culture
239,Geno Studio
240,Gift-o’-Animation
241,Giga Production
242,Global Digital Creations
243,GoHands
244,Gold Valley Films
245,Gosay Studio
246,Graphinica
247,Grass
248,Gravity Well
249,Green Monster Team
250,Green Planet Studio
251,Greenleaf Animation
252,Gudong Animation Studio
253,HAPPYMAN♥
254,HM Heros
255,HMCH
256,HORNETS
257,HS PICTURES
258,Haoliners Animation
259,Hayabusa Film
260,He Zhou Culture
261,Heart & Soul Animation
262,Helo
263,Hong Ying Animation
264,Honglu Technology
265,Hoods Entertainment
266,Horipro
267,Hot Zipang
268,Hotline
269,Hua Dream
270,HuaMei Animation
271,Hui Guang Studio
272,Hurray!
273,I.G Zwei
274,ICHIZIKU
275,IDREAM Entertainment
276,IKIF+
277,ILCA
278,ILCASHIPS
279,IMAGICA DIGITALSCAPE
280,INDIVISION
281,INREALITY
282,INTERFACEDOGS
283,Iconix Entertainment
284,Ijigen TOKYO
285,Imageworks Studio
286,Imagica Infos
287,Imagica Lab.
288,Imagineer
289,Infinity Animation
290,Infinity Vision
291,Ishikawa Pro
292,J.C.STAFF
293,JJJoy Animation Studios
294,JUVENAGE
295,Jiang Toon Animation
296,Jichitai Anime
297,Jinnan Studio
298,Jinni's Animation Studio
299,Jintu Pictures
300,Joicy Studio
301,Joker Films
302,Jumondou
303,Juumonji
304,KIKO
305,KIO STUDIO
306,KONAMI animation
307,KUAIYING
308,Kachidoki Studio
309,Kachigarasu
310,Kagome Company
311,Kamikaze Douga
312,Kanaban Graphics
313,Ke Yue Xue Zi
314,Keika Co. Ltd.
315,Kenji Studio
316,Keyring
317,Kigumi
318,Kinema Citrus
319,Konyoshi
320,Koo-Ki
321,Kumarba
322,Kung Fu Frog Animation
323,Kyoto Animation
324,LICO
325,LIDENFILMS
326,LIDENFILMS Kyoto Studio
327,LOCUS Animation
328,LX Animation Studio
329,Laftel
330,LandQ studios
331,Lapin Track
332,Larx Entertainment
333,Lay-duce
334,Lerche
335,Lesprit
336,Liber
337,Liberty Animation Studio
338,Light Chaser Animation
339,Liliyabi
340,LinQ
341,Lingke Culture
342,Lingsanwu Animation
343,Live2D Creative Studio
344,Liyu Culture
345,L² Studio
346,M.S.C
347,MADHOUSE
348,MAKING ANIMATION
349,MANAA ANIMATION
350,MAPPA
351,MARU animation
352,MMDGP
353,MMT
354,MOE
355,MOJO
356,MORIE Inc.
357,MUSUHI
358,Magia Doraglier
359,Magic Bus
360,Magilm Pictures
361,Maho Film
362,Mainichi Eigasha
363,Majin petit
364,Makaria
365,ManHoo Culture
366,Mandrill Picture Corp
367,Maple Toon
368,Marvy Jack
369,Marza Animation Planet
370,Maten Animation
371,Meditation With a Pencil
372,Medo
373,Mili Digital
374,Mili Pictures
375,Millepensee
376,Minakata Laboratory
377,Miota Studio
378,Mirai Film
379,Miyu Productions
380,Monster's Egg
381,MontBlanc Pictures
382,Mote Stop-Motion Animation
383,Motion Magic
384,Mousou Senka
385,NAGOMI
386,NAMU Animation
387,NAS
388,NAZ
389,NEWON
390,NICHICALINE
391,NOKID
392,NOTHING NEW
393,NUT
394,Netflix Anime Creators' Base
395,NewGeneration
396,Nexus
397,Nice Boat Animation
398,Nippon Animation
399,Nomad
400,Noovo Inc.
401,Nur
402,Nur edel
403,Nyan Pollution-ω-
